Title,Year,Genre,Stars,Rating,Duration
Community,2009,Comedy,"['Danny Pudi', 'Donald Glover', 'Chevy Chase']",8.4,22
Modern Family,2009,"Comedy, Drama, Romance","['Sofía Vergara', 'Julie Bowen', 'Ty Burrell']",8.6,22
Parks and Recreation,2009,Comedy,"[""Jim O'Heir"", 'Nick Offerman', 'Chris Pratt']",8.2,22
30 Rock,2006,Comedy,"['Alec Baldwin', 'Tracy Morgan', 'Jack McBrayer']",8.2,22
Party Down,2009,Comedy,"['Ken Marino', 'Ryan Hansen', 'Martin Starr']",8.1,30
Workaholics,2011,Comedy,"['Adam Devine', 'Anders Holm', 'Maribeth Monroe']",8.2,22
The League,2009,"Comedy, Sport","['Jonathan Lajoie', 'Nick Kroll', 'Stephen Rannazzisi']",8.3,22
Veronica Mars,2004,"Crime, Drama, Mystery","['Jason Dohring', 'Enrico Colantoni', 'Percy Daggs III']",8.3,44
Life,2007,"Crime, Drama, Mystery","['Sarah Shahi', 'Adam Arkin', 'Brent Sexton']",8.3,45
How I Met Your Mother,2005,"Comedy, Romance","['Jason Segel', 'Cobie Smulders', 'Neil Patrick Harris']",8.9,22
The Office,2005,Comedy,"['Jenna Fischer', 'John Krasinski', 'Rainn Wilson']",8.1,22
Criminal Minds,2005,"Crime, Drama, Mystery","['Kirsten Vangsness', 'A.J. Cook', 'Joe Mantegna']",8.3,42
Orphan Black,2013,"Action, Drama, Sci-Fi","['Dylan Bruce', 'Jordan Gavaris', 'Kevin Hanchard']",8.2,44
Chuck,2007,"Action, Comedy, Drama","['Yvonne Strahovski', 'Joshua Gomez', 'Vik Sahay']",8.2,43
The Originals,2013,"Drama, Fantasy, Horror","['Daniel Gillies', 'Claire Holt', 'Phoebe Tonkin']",8.6,45
Spaced,1999,"Action, Comedy","['Simon Pegg', 'Julia Deakin', 'Nick Frost']",8.5,25
Black Books,2000,Comedy,"['Bill Bailey', 'Tamsin Greig', 'Paul Beech']",8.2,25
The Fall,2013,"Crime, Drama, Thriller","['Jamie Dornan', 'John Lynch', 'Aisling Franciosi']",8.4,60
Broadchurch,2013,"Crime, Drama, Mystery","['Olivia Colman', 'Jodie Whittaker', 'Andrew Buchan']",8.1,48
Orange Is the New Black,2013,"Comedy, Crime, Drama","['Danielle Brooks', 'Taryn Manning', 'Emma Myles']",8.3,59
Hell on Wheels,2011,"Drama, Western","['Colm Meaney', 'Robin McLeavy', 'Phil Burke']",8.4,42
Southland,2009,"Crime, Drama, Thriller","['Shawn Hatosy', 'Regina King', 'Ben McKenzie']",8.6,42
Da Vinci's Demons,2013,"Adventure, Biography, Drama","['Gregg Chillin', 'Eros Vlahos', 'Laura Haddock']",8.2,59
Bates Motel,2013,"Drama, Horror, Mystery","['Freddie Highmore', 'Max Thieriot', 'Nicola Peltz']",8.5,45
Halt and Catch Fire,2014,Drama,"['Scoot McNairy', 'Mackenzie Davis', 'Kerry Bishé']",8.7,60
Silicon Valley,2014,Comedy,"['T.J. Miller', 'Josh Brener', 'Martin Starr']",8.1,28
Friday Night Lights,2006,"Drama, Sport","['Connie Britton', 'Zach Gilford', 'Aimee Teegarden']",8.3,44
Dead Like Me,2003,"Comedy, Drama, Fantasy","['Callum Blue', 'Jasmine Guy', 'Mandy Patinkin']",8.3,60
Forever,2014,"Crime, Drama, Fantasy","['Alana De La Garza', 'Joel David Moore', 'Donnie Keshawarz']",8.2,43
Lilyhammer,2012,"Comedy, Crime, Drama","['Trond Fausa', 'Steinar Sagen', 'Marian Saastad Ottesen']",8.3,45
The Good Wife,2009,"Crime, Drama, Mystery","['Chris Noth', 'Josh Charles', 'Matt Czuchry']",8.4,43
The Missing,2014,"Crime, Drama, Mystery","['Anastasia Hille', 'David Morrissey', 'Keeley Hawes']",8.5,60
Olive Kitteridge,2014,Drama,"['Richard Jenkins', 'Ken Cheeseman', 'Ann Dowd']",8.4,239
Bosch,2014,"Crime, Drama","['Jamie Hector', 'Amy Aquino', 'Lance Reddick']",8.4,51
Marco Polo,2014,"Adventure, Drama, History","['Benedict Wong', 'Joan Chen', 'Remy Hii']",8.6,60
The IT Crowd,2006,Comedy,"['Richard Ayoade', 'Katherine Parkinson', 'Matt Berry']",8.6,25
My Mad Fat Diary,2013,"Comedy, Drama, Romance","['Ciara Baxendale', 'Dan Cohen', 'Sharon Rooney']",8.2,47
Call the Midwife,2012,"Drama, History","['Laura Main', 'Jenny Agutter', 'Judy Parfitt']",9.2,60
Wentworth,2013,"Crime, Drama","['Robbie Magasiva', 'Katrina Milosevic', 'Jacqueline Brennan']",8.3,45
Rake,2010,"Comedy, Drama","['Matt Day', 'Kate Box', 'Caroline Brazier']",8.4,60
Jonathan Strange & Mr Norrell,2015,"Fantasy, History, Sci-Fi","['Eddie Marsan', 'Marc Warren', 'Charlotte Riley']",8.4,60
Rick and Morty,2013,"Animation, Adventure, Comedy","['Chris Parnell', 'Spencer Grammer', 'Sarah Chalke']",8.6,23
The Last Kingdom,2015,"Action, Drama, History","['Eliza Butterworth', 'Ian Hart', 'David Dawson']",8.1,60
The Man in the High Castle,2015,"Drama, Sci-Fi, Thriller","['Luke Kleintank', 'Rufus Sewell', 'Rupert Evans']",8.2,60
Terriers,2010,"Comedy, Crime, Drama","['Michael Raymond-James', 'Laura Allen', 'Kimberly Quinn']",8.2,45
Jessica Jones,2015,"Action, Crime, Drama","['Rachael Taylor', 'Eka Darville', 'Carrie-Anne Moss']",8.1,56
Ash vs Evil Dead,2015,"Action, Comedy, Fantasy","['Ray Santiago', 'Dana DeLorenzo', 'Lucy Lawless']",8.3,30
Detectorists,2014,Comedy,"['Toby Jones', 'Rachael Stirling', 'Gerard Horan']",8.3,30
Deutschland 83,2015,"Drama, History, Romance","['Maria Schrader', 'Ulrich Noethen', 'Sylvester Groth']",8.5,42
Lucifer,2015,"Crime, Drama, Fantasy","['Lauren German', 'Kevin Alejandro', 'Lesley-Ann Brandt']",8.4,42
11.22.63,2016,"Drama, Mystery, Sci-Fi","['Sarah Gadon', 'George MacKay', 'Chris Cooper']",8.9,60
The Night Manager,2016,"Crime, Drama, Mystery","['Tom Hiddleston', 'Elizabeth Debicki', 'Olivia Colman']",8.2,358
This Is England '86,2010,"Crime, Drama","['Andrew Shim', 'Chanel Cresswell', 'Danielle Watson']",8.2,47
This Is England '88,2011,"Crime, Drama","['Andrew Shim', 'Chanel Cresswell', 'Charlotte Tyree']",8.3,70
This Is England '90,2015,"Crime, Drama","['Billy Braithwait', 'Chanel Cresswell', 'Katherine Dow Blyton']",8.1,55
Kingdom,2014,Drama,"['Kiele Sanchez', 'Matt Lauria', 'Jonathan Tucker']",8.6,43
O.J.: Made in America,2016,"Documentary, Biography, Crime","['Kareem Abdul-Jabbar', 'Mike Albanese', 'Muhammad Ali', 'Marcus Allen']",8.1,467
Strike Back,2010,"Action, Drama, Thriller","['Sullivan Stapleton', 'Michelle Lukes', 'Daniel MacPherson']",8.7,45
Power,2014,"Crime, Drama","['Lela Loren', 'Naturi Naughton', 'Joseph Sikora']",8.2,50
The Get Down,2016,"Drama, Music, Musical","['Shameik Moore', 'Herizen F. Guardiola', 'Skylan Brooks']",8.7,52
Preacher,2016,"Adventure, Drama, Fantasy","['Joseph Gilgun', 'Ruth Negga', 'Ian Colletti']",8.3,60
The Exorcist,2016,"Drama, Horror, Mystery","['Ben Daniels', 'Kurt Egyiawan', 'Hannah Kasulka']",8.3,45
Atlanta,2016,"Comedy, Drama, Music","['Brian Tyree Henry', 'LaKeith Stanfield', 'Zazie Beetz']",8.3,30
Quarry,2016,"Crime, Drama, Thriller","['Jodi Balfour', 'Damon Herriman', 'Edoardo Ballerini']",8.4,60
This Is Us,2016,"Comedy, Drama, Romance","['Mandy Moore', 'Sterling K. Brown', 'Chrissy Metz']",8.2,45
Goliath,2016,Drama,"['Tania Raymonde', 'Nina Arianda', 'Diana Hopper']",8.3,60
Skam,2015,"Drama, Romance","['Iman Meskini', 'Ulrikke Falch', 'Lisa Teige']",8.4,30
Longmire,2012,"Action, Crime, Drama","['Katee Sackhoff', 'Lou Diamond Phillips', 'Cassidy Freeman']",8.1,60
Legion,2017,"Action, Drama, Sci-Fi","['Rachel Keller', 'Aubrey Plaza', 'Bill Irwin']",8.3,60
The Good Fight,2017,"Crime, Drama","['Cush Jumbo', 'Delroy Lindo', 'Sarah Steele']",8.8,45
Ozark,2017,"Crime, Drama, Thriller","['Laura Linney', 'Sofia Hublitz', 'Skylar Gaertner']",8.6,60
The Good Doctor,2017,Drama,"['Antonia Thomas', 'Hill Harper', 'Richard Schiff']",8.2,41
Godless,2017,"Drama, Western","['Michelle Dockery', 'Scoot McNairy', 'Merritt Wever']",8.4,60
Billions,2016,Drama,"['Damian Lewis', 'Maggie Siff', 'David Costabile']",8.3,60
Altered Carbon,2018,"Action, Drama, Sci-Fi","['Renée Elise Goldsberry', 'Will Yun Lee', 'Dichen Lachman']",8.7,60
Killing Eve,2018,"Action, Adventure, Drama","['Sandra Oh', 'Fiona Shaw', 'Kim Bodnia']",8.5,42
Cobra Kai,2018,"Action, Comedy, Drama","['Ralph Macchio', 'William Zabka', 'Courtney Henggeler']",8.4,30
The Defiant Ones,2017,"Documentary, Biography, Crime","['Jimmy Iovine', 'Trent Reznor', 'Verna Griffin']",8.6,60
Sharp Objects,2018,"Crime, Drama, Mystery","['Patricia Clarkson', 'Chris Messina', 'Eliza Scanlen']",8.6,421
Yellowstone,2018,"Drama, Western","['Luke Grimes', 'Kelly Reilly', 'Wes Bentley']",8.5,60
Who Is America?,2018,Comedy,"['Roy Elghanayan', 'Emanuela Postacchini', 'Alfred Pierce']",8.5,30
The Witcher,2019,"Action, Adventure, Drama","['Freya Allan', 'Anya Chalotra', 'Mimi Ndiweni']",8.3,60
The Act,2019,"Biography, Crime, Drama","['Joey King', 'AnnaSophia Robb', 'Chloë Sevigny']",8.4,60
The Morning Show,2019,Drama,"['Reese Witherspoon', 'Desean Terry', 'Victoria Tate']",8.5,60
Succession,2018,Drama,"['Nicholas Braun', 'Brian Cox', 'Kieran Culkin']",8.2,60
The Outsider,2020,"Crime, Drama, Mystery","['Bill Camp', 'Jeremy Bobb', 'Mare Winningham']",8.6,60
Lights Out,2011,"Crime, Drama, Sport","['Stacy Keach', 'Catherine McCormack', 'Pablo Schreiber']",8.4,60
Kingdom,2014,Drama,"['Kiele Sanchez', 'Matt Lauria', 'Jonathan Tucker']",8.3,43
Heimebane,2018,"Drama, Sport","['John Carew', 'Axel Bøyum', 'Emma Bones']",8.4,50
Poldark,2015,"Drama, History, Romance","['Eleanor Tomlinson', 'Jack Farthing', 'Beatie Edney']",8.1,60
Gran Hotel,2011,"Crime, Drama, Mystery","['Amaia Salamanca', 'Yon González', 'Eloy Azorín']",8.2,60
Damages,2007,"Crime, Drama, Mystery","['Rose Byrne', 'Tate Donovan', 'Zachary Booth']",8.3,60
Les Revenants,2012,"Drama, Fantasy, Horror","['Clotilde Hesme', 'Frédéric Pierrot', 'Céline Sallette']",8.3,52
Godless,2017,"Drama, Western","['Michelle Dockery', 'Scoot McNairy', 'Merritt Wever']",8.3,60
Rectify,2013,Drama,"['Abigail Spencer', 'J. Smith-Cameron', 'Adelaide Clemens']",8.2,60
The Virtues,2019,Drama,"['Niamh Algar', 'Helen Behan', 'Frank Laverty']",8.3,213
Unorthodox,2020,Drama,"['Amit Rahav', 'Jeff Wilbusch', 'Alex Reid']",8.3,60
The Last Kingdom,2015,"Action, Drama, History","['Eliza Butterworth', 'Ian Hart', 'David Dawson']",8.4,60
Longmire,2012,"Action, Crime, Drama","['Katee Sackhoff', 'Lou Diamond Phillips', 'Cassidy Freeman']",7.9,44
The Americans,2013,"Crime, Drama, Mystery","['Matthew Rhys', 'Keidrich Sellati', 'Holly Taylor']",8.2,45
Rubicon,2010,"Crime, Drama, Mystery","['Jessica Collins', 'Lauren Hodges', 'Dallas Roberts']",8.6,60
The Missing,2014,"Crime, Drama, Mystery","['Anastasia Hille', 'David Morrissey', 'Keeley Hawes']",7.8,60
Line of Duty,2012,"Crime, Drama, Mystery","['Vicky McClure', 'Adrian Dunbar', 'Craig Parkinson']",8.4,60
